;feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;feature_20;feature_21;feature_22;feature_23;feature_24;feature_25;feature_26;feature_27;feature_28;feature_29;feature_30;feature_31;feature_32;feature_33;feature_34;feature_35;feature_36;feature_37;feature_38;feature_39;feature_40;feature_41;feature_42;feature_43;feature_44;feature_45;feature_46;feature_47;feature_48;feature_49;feature_50
10;0.29279158;-0.3291268;0.17030157;-0.42950085;0.26161093;-0.8117144;-0.12688775;-0.1534798;-1.096464;0.70044047;-1.2563721;0.6250872;0.7096853;0.39632985;0.13405107;0.33110422;-0.046588056;-0.02647423;-0.988701;0.24614693;0.35734525;0.30601022;0.3890576;0.058291607;0.7756949;0.08612134;-0.49581522;-0.24107695;-0.566554;0.26748714;-0.119787075;0.46211603;0.5649764;-0.69073176;-0.54973185;0.50743693;-0.10344326;-0.20286182;-0.34629494;-0.53825235;-0.2235534;-0.0060898075;0.54870516;0.96019155;0.38730913;-0.46457344;0.5719653;-0.541717;0.53055745;-0.6598259
11;0.74951756;0.44313845;-0.34782657;-0.7225895;0.530362;-0.3548666;-0.05018077;0.2915153;-0.0838145;0.6497136;-0.10251822;0.17890516;-0.29871267;0.51398516;-0.6734976;-0.27646044;-0.30277118;0.30912754;0.24521223;0.05019551;0.11930852;-3.1142194e-05;0.087559834;-0.30200765;1.0201007;-0.21626382;0.039968695;0.016182983;-0.0942478;0.7938154;0.022294734;0.13194352;-0.37466517;-1.034515;0.11298122;0.2918744;0.4144068;-0.6550585;0.5552769;-0.21634752;0.15756251;-0.19081084;0.8072727;-0.08550258;0.6732852;0.06692785;-0.11987236;0.056436714;1.2597456;0.27807257
12;0.025051476;0.15328377;-0.3490332;-0.21473391;0.24123833;-0.429469;0.0011783792;1.0603331;-0.71987975;0.4992438;-0.80741966;0.008477602;-0.85005665;0.5100538;-0.006218525;-0.53426236;0.4964258;0.66719735;-0.20517477;0.015352063;-0.026813496;0.6932755;-0.74062395;0.075435326;0.4271262;-0.16748615;-0.28007177;-0.4365176;-0.6387936;0.046393257;-0.00084237324;0.58386534;-0.9793866;-1.0260463;0.14345223;0.53778774;0.41982704;0.65042675;0.561321;0.1458144;0.1287703;-1.1224471;-1.1726545;-0.17013684;0.22475031;0.064672254;-0.78255695;-0.4737302;0.04298627;-0.19644597
13;0.43250507;0.38112575;0.24583766;-0.18113026;0.13017824;-0.12769373;0.0017004044;0.5172185;-0.38665652;0.06127923;0.07803796;0.23055954;-0.55637753;0.40574375;-0.73883355;0.753339;-0.26487428;-0.055376973;0.41288927;-0.19119617;0.31339076;0.10219769;-0.002308437;-0.17446831;1.1845219;0.14536186;0.2478846;-0.27969176;-0.5541223;0.912473;-0.068637855;-0.24081953;-0.14060225;-0.20666562;-0.0642245;0.33453634;0.1162834;-0.16883197;-0.64884824;0.056510217;0.26144478;-0.53036785;0.6326832;-0.772013;0.45659122;-0.15771113;0.25180218;-0.29556015;0.37747502;-0.15657318
14;0.24550265;0.5436777;0.25219718;0.20785043;0.31314656;-0.19654271;0.34546727;0.851376;0.515541;-0.9099835;-0.0032970326;0.5563525;-0.043122217;0.38108462;-0.45538205;0.22587112;0.7387378;-0.13601968;-0.5955499;-0.12495944;-0.50942856;0.8125587;0.37654787;0.096754774;-0.17222643;0.110687114;0.7678982;-0.88549036;0.06023538;0.7610331;-0.18942766;-0.20526873;-0.081418715;-0.9731953;-0.19737563;-0.0398682;0.010202003;-0.3014724;0.17627068;0.23934263;0.065570906;-0.39135876;0.056984;-0.2664937;0.6154385;0.124050185;-0.30440894;-0.08450501;0.7268625;-0.22743328
15;0.6598741;0.7759274;-0.45181617;0.20634349;-0.09514995;-0.13510758;-0.11742222;1.6074321;0.22660354;-0.19156422;-0.674622;0.5665215;-0.30039468;0.105429895;-0.30104947;-0.08183996;-0.67215466;-0.40355712;-0.28354064;-0.74432844;0.3366549;0.2259529;-0.18420528;-0.54766965;0.44179428;-0.14373492;-0.56371063;-0.0067216842;-1.0153335;0.78409517;-0.029476674;-0.43627244;-0.03702946;0.07007973;-0.28121886;0.5992754;-0.015008603;-0.92943376;0.24097738;-0.055713985;-0.109606765;-0.38026437;0.052109133;-0.3363365;-0.39477375;-0.63256043;-0.02488731;-0.50410706;0.4156681;-0.15228133
16;1.0279343;0.27728897;0.35461834;-0.5639634;-0.55980676;-0.8325865;0.07846505;0.94098246;-0.2797406;-0.35505664;0.073248364;0.24552958;-0.3200189;0.62475175;0.4662875;0.6732993;0.3486652;-0.27112198;-0.20431843;-0.25301775;0.40733135;0.4302807;0.13020866;0.2689647;0.4041778;-0.33991885;-0.07660698;0.18579248;-0.19440739;0.90119827;-0.10140401;-0.6397914;-0.24516992;-0.90622187;0.21485089;0.24341658;0.28958133;0.11455437;-0.022353778;0.047367122;0.4180373;0.2700873;0.14525767;0.7135184;0.11700454;0.113252416;0.34181646;0.2763203;0.6275932;-0.7343449
17;0.7082106;0.014915059;0.47332296;-0.08368068;0.36979303;-0.048676066;0.05355347;1.417151;-0.36043033;0.03563484;-0.9184611;0.37860245;-0.46554217;0.5465274;-0.8845077;1.0087494;0.10053217;0.35788694;-0.32682922;-0.04439776;0.27166498;1.1332643;-0.5760442;0.6360954;-0.13065934;-0.14063203;-0.5715104;0.5043748;0.5712699;1.1563175;0.21580794;-0.19188084;0.38829505;0.3239115;-0.13648702;0.5573975;0.09381994;-0.33258092;0.029183406;0.048130196;-0.037448913;0.44903544;0.38975343;0.58837014;-0.059878353;-0.055943463;0.033568993;-0.13632153;0.446931;0.40920183
18;0.967927;-0.40752563;-0.215692;-0.66437167;0.14569002;-0.40682715;-0.20434186;-0.21534923;-0.23520525;0.14760661;-0.40138862;0.4501096;0.6142224;0.5936045;-0.17313822;0.53660935;0.094042085;0.42060807;-0.47722432;0.36530817;-0.045386776;0.3691937;1.087924;0.6391543;0.5823787;0.16860437;0.112488054;0.587959;-0.14921895;0.22568588;-0.2078294;-0.54545933;0.50363183;-0.34613928;0.28061014;-0.07186851;0.08987689;-0.50587875;-0.18971492;-0.08358268;0.19637974;0.7963038;-0.7214383;0.45048493;0.847303;-0.7243754;0.6758354;-0.2709172;1.2524927;-0.4946032
19;1.085866;0.33039752;-0.27944136;-0.25622436;0.1956491;0.11406572;0.15920861;0.9093588;-0.14671285;-0.47833765;-0.09676689;0.69968975;0.1163162;-0.4961976;-0.456472;0.3307878;0.2081769;-0.252638;-0.46448097;-0.28497887;0.1538525;0.15841924;0.76383674;0.11870948;-0.14651528;0.5236485;0.2276289;-0.276917;-0.2579503;1.236593;-0.45593333;-0.4166207;-0.14581214;0.059952315;-0.5428539;0.7150658;0.577705;-1.0661532;-0.14842853;0.2200246;-0.6161943;0.18502848;0.59961796;0.09063152;-0.0060755014;-0.9649777;0.033215243;-0.7935575;-0.07042517;0.11805852
